;K01;K02;K03;K04;K05;K06;K07;K08;K09;K10;;;;
T4607;65;17;19;22;57;50;88;73;96;21;T4607;508;;
T4608;38;43;48;79;25;59;17;79;47;96;T4608;531;;
T4609;34;39;70;24;77;28;56;23;92;80;T4609;523;;
T4610;28;51;65;96;75;34;86;31;35;64;T4610;565;;
T4611;57;40;86;44;79;86;15;34;93;23;T4611;557;;
T4612;81;16;35;10;45;66;46;79;36;24;T4612;438;;
T4613;60;48;21;87;80;100;88;44;76;39;T4613;643;;
T4614;26;75;52;74;33;88;68;58;95;24;T4614;593;;
T4615;22;58;70;62;46;79;89;52;38;91;T4615;607;;
T4616;85;41;76;96;12;33;35;80;53;41;T4616;552;;
T4617;89;68;76;99;30;69;81;14;14;48;T4617;588;;
T4618;52;89;76;34;80;97;97;95;30;92;T4618;742;;
T4619;71;25;95;29;43;64;37;22;95;73;T4619;554;;
T4620;88;66;53;74;78;23;73;48;39;28;T4620;570;;
T4621;86;58;43;77;25;100;10;15;27;60;T4621;501;;
T4622;62;15;45;85;90;63;25;80;27;85;T4622;577;;
T4623;44;73;21;28;75;97;87;93;81;61;T4623;660;;
T4624;31;29;65;69;48;74;94;66;39;90;T4624;605;;
T4625;85;90;39;100;64;53;10;48;41;95;T4625;625;;
T4626;18;100;56;62;24;32;23;13;77;13;T4626;418;;
T4627;18;57;43;67;80;58;55;26;85;50;T4627;539;;
T4628;61;77;80;15;25;49;41;77;27;58;T4628;510;;
T4629;92;42;19;56;93;37;98;59;36;92;T4629;624;;
T4630;43;97;86;57;97;78;75;11;52;65;T4630;661;;
T4631;56;80;42;21;95;60;45;35;29;71;T4631;534;;
T4632;81;21;47;65;68;98;82;87;93;89;T4632;731;;
T4633;90;15;84;85;22;96;51;27;35;67;T4633;572;;
T4634;22;87;96;63;73;43;87;76;68;96;T4634;711;;
T4635;22;13;94;39;83;21;70;41;83;39;T4635;505;;
T4636;25;10;36;26;16;90;26;66;14;61;T4636;370;;
T4637;56;35;69;69;13;100;35;76;18;99;T4637;570;;
T4638;21;59;21;31;21;83;82;87;98;59;T4638;562;;
T4639;89;84;64;33;65;33;54;19;76;32;T4639;549;;
T4640;59;95;21;50;77;37;92;52;38;49;T4640;570;;
T4641;36;61;38;84;37;84;28;65;20;62;T4641;515;;
T4642;43;42;29;64;55;76;34;86;85;25;T4642;539;;
T4643;28;51;52;31;36;96;66;88;91;42;T4643;581;;
T4644;40;41;78;80;59;88;100;30;51;78;T4644;645;;
T4645;75;68;75;41;100;78;68;95;79;54;T4645;733;;
T4646;54;78;52;51;51;43;19;66;11;31;T4646;456;;
T4647;11;39;45;18;30;61;76;31;45;96;T4647;452;;
T4648;67;56;29;61;20;76;18;24;49;62;T4648;462;;
T4649;48;65;12;11;65;60;87;78;39;86;T4649;551;;
T4650;54;52;88;13;34;34;18;65;74;17;T4650;449;;
T4651;35;87;25;98;38;97;25;37;59;82;T4651;583;;
T4652;64;94;94;45;57;39;69;19;37;66;T4652;584;;
T4653;84;48;30;14;18;54;16;97;42;54;T4653;457;;
T4654;40;46;62;36;85;56;44;44;62;91;T4654;566;;
T4655;36;92;76;48;90;84;11;10;65;53;T4655;565;;
T4656;51;93;34;89;82;52;17;87;26;43;T4656;574;;
T4657;48;39;57;64;21;61;56;80;17;24;T4657;467;;
T4658;48;27;62;15;35;14;89;59;97;82;T4658;528;;
T4659;46;45;43;16;95;44;32;83;87;66;T4659;557;;
T4660;49;62;12;11;64;45;85;16;53;59;T4660;456;;
T4661;35;10;51;17;17;99;49;39;83;64;T4661;464;;
T4662;54;72;32;14;100;31;49;90;74;94;T4662;610;;
T4663;58;58;71;36;11;71;62;92;39;11;T4663;509;;
T4664;37;74;74;91;97;14;36;17;22;10;T4664;472;;
T4665;77;19;82;81;20;27;44;53;43;59;T4665;505;;
T4666;50;24;57;50;57;48;40;71;49;18;T4666;464;;
T4667;92;63;72;44;22;60;21;93;33;95;T4667;595;;
T4668;62;77;19;78;88;48;99;40;13;61;T4668;585;;
T4669;31;23;23;92;26;54;18;53;90;46;T4669;456;;
T4670;13;83;21;66;18;54;81;82;18;15;T4670;451;;
T4671;83;71;45;28;59;10;10;84;91;74;T4671;555;;
T4672;45;76;32;53;53;26;85;83;29;72;T4672;554;;
T4673;17;88;39;37;14;63;61;49;70;29;T4673;467;;
T4674;41;51;74;44;33;73;19;58;91;86;T4674;570;;
T4675;66;20;72;96;65;18;72;53;42;50;T4675;554;;
T4676;88;95;26;27;81;99;22;97;42;91;T4676;668;;
T4677;28;63;47;58;26;52;18;87;50;48;T4677;477;;
T4678;19;75;91;32;61;18;57;57;72;73;T4678;555;;
T4679;16;43;87;29;59;68;50;20;37;52;T4679;461;;
T4680;68;65;64;28;14;46;76;31;28;97;T4680;517;;
T4681;76;83;15;73;36;82;25;83;78;16;T4681;567;;
T4682;36;36;22;59;97;100;47;24;13;33;T4682;467;;
T4683;40;66;29;70;94;45;64;37;60;98;T4683;603;;
T4684;94;61;28;22;87;55;75;40;77;38;T4684;577;;
T4685;96;64;41;45;72;22;99;51;65;26;T4685;581;;
T4686;42;100;59;73;59;64;29;95;57;52;T4686;630;;
T4687;48;84;16;100;90;34;26;80;12;38;T4687;528;;
T4688;44;69;82;99;88;11;80;81;43;60;T4688;657;;
T4689;18;83;37;17;87;90;96;50;83;55;T4689;616;;
T4690;33;95;25;85;53;84;42;31;66;69;T4690;583;;
T4691;86;97;55;74;85;52;33;61;70;72;T4691;685;;
T4692;11;69;65;87;27;22;19;52;63;16;T4692;431;;
T4693;43;12;77;48;23;52;29;69;40;61;T4693;454;;
T4694;94;51;56;28;78;73;66;15;15;97;T4694;573;;
T4695;54;91;40;11;39;61;84;100;90;33;T4695;603;;
T4696;69;76;36;48;85;25;48;74;17;12;T4696;490;;
T4697;34;83;13;77;71;47;86;32;32;94;T4697;569;;
T4698;23;36;86;92;100;96;53;10;56;36;T4698;588;;
T4699;67;43;96;64;67;99;83;62;45;29;T4699;655;;
T4700;82;29;24;47;49;84;13;52;97;77;T4700;554;;
T4701;24;97;51;38;13;21;13;51;92;66;T4701;466;;
T4702;80;13;52;14;62;50;68;27;34;44;T4702;444;;
T4703;69;64;65;29;78;35;36;29;85;57;T4703;547;;
T4704;100;84;96;30;60;74;63;11;90;39;T4704;647;;
T4705;72;20;66;65;53;86;30;94;60;13;T4705;559;;
T4706;20;36;29;29;11;21;94;92;19;69;T4706;420;;
T4707;34;98;30;73;24;50;15;18;10;20;T4707;372;;
T4708;39;33;22;97;10;42;90;89;52;51;T4708;525;;
T4709;15;21;75;86;76;64;52;82;10;38;T4709;519;;
T4710;46;88;26;48;52;40;72;39;76;61;T4710;548;;
T4711;81;20;55;26;73;76;59;77;18;18;T4711;503;;
T4712;85;53;87;35;81;45;83;60;54;88;T4712;671;;
T4713;76;82;93;36;50;42;74;35;47;20;T4713;555;;
T4714;73;48;16;60;82;44;21;82;17;65;T4714;508;;
T4715;56;35;76;83;79;79;19;44;88;28;T4715;587;;
T4716;92;41;63;83;16;15;73;27;43;15;T4716;468;;
T4717;92;60;65;72;63;80;61;38;42;83;T4717;656;;
T4718;89;18;47;56;71;33;95;28;93;92;T4718;622;;
T4719;62;59;89;52;13;72;54;44;58;99;T4719;602;;
T4720;75;82;52;37;97;23;49;23;64;10;T4720;512;;
T4721;86;53;87;49;59;96;71;37;29;11;T4721;578;;
T4722;62;21;87;91;68;62;19;21;24;63;T4722;518;;
T4723;24;14;82;42;94;58;35;26;19;34;T4723;428;;
T4724;72;56;88;10;13;81;45;63;79;56;T4724;563;;
T4725;64;60;79;69;36;27;44;84;74;43;T4725;580;;
T4726;19;73;89;85;72;10;73;73;79;26;T4726;599;;
T4727;69;31;32;18;56;24;48;97;40;93;T4727;508;;
T4728;39;69;18;70;88;43;44;15;85;57;T4728;528;;
T4729;32;14;36;69;45;75;16;90;73;41;T4729;491;;
T4730;14;17;79;20;95;39;34;87;55;65;T4730;505;;
T4731;40;87;70;54;93;54;77;52;55;13;T4731;595;;
T4732;36;42;43;28;96;35;20;20;43;11;T4732;374;;
T4733;64;64;70;52;95;91;96;82;83;10;T4733;707;;
T4734;10;80;54;63;95;97;36;68;69;14;T4734;586;;
T4735;12;57;31;14;60;23;32;22;26;83;T4735;360;;
T4736;68;81;85;68;62;45;93;73;99;98;T4736;772;;
T4737;93;29;26;39;95;20;56;15;46;80;T4737;499;;
T4738;65;38;59;74;42;41;47;35;76;21;T4738;498;;
T4739;37;86;86;47;90;32;16;54;91;38;T4739;577;;
T4740;41;49;27;70;62;56;81;71;25;30;T4740;512;;
T4741;11;18;97;62;45;59;93;34;80;57;T4741;556;;
T4742;55;44;69;16;21;10;59;26;41;54;T4742;395;;
T4743;96;70;50;82;27;55;64;75;48;72;T4743;639;;
T4744;65;70;52;90;43;83;88;62;15;46;T4744;614;;
T4745;46;39;54;58;99;60;62;24;13;47;T4745;502;;
T4746;94;52;90;26;13;93;87;62;97;57;T4746;671;;
T4747;16;68;18;22;68;10;11;57;73;43;T4747;386;;
T4748;99;70;96;69;42;90;36;74;43;93;T4748;712;;
T4749;14;33;55;75;54;10;36;96;35;86;T4749;494;;
T4750;53;15;83;47;60;21;87;100;20;69;T4750;555;;
T4751;64;59;31;60;66;52;85;80;87;53;T4751;637;;
T4752;31;11;14;29;66;14;84;69;53;84;T4752;455;;
T4753;24;67;77;10;29;48;44;67;16;29;T4753;411;;
T4754;15;90;90;68;48;68;89;32;73;82;T4754;655;;
T4755;53;95;95;58;49;56;47;47;52;72;T4755;624;;
T4756;14;57;32;54;84;53;49;61;89;71;T4756;564;;
T4757;44;88;91;95;38;98;40;52;73;39;T4757;658;;
T4758;77;29;72;49;69;78;77;64;34;49;T4758;598;;
T4759;27;76;83;45;41;54;29;75;18;88;T4759;536;;
T4760;85;96;82;30;86;95;81;25;93;90;T4760;763;;
T4761;99;27;54;20;25;86;39;92;86;13;T4761;541;;
T4762;75;36;60;11;70;44;52;54;22;64;T4762;488;;
T4763;47;23;17;28;79;54;100;83;74;55;T4763;560;;
T4764;86;59;99;33;63;97;25;14;92;60;T4764;628;;
T4765;47;24;26;26;95;10;31;91;71;94;T4765;515;;
T4766;67;86;29;82;17;42;90;90;58;14;T4766;575;;
T4767;46;41;71;58;32;62;86;68;76;22;T4767;562;;
T4768;74;18;100;40;77;69;50;68;93;12;T4768;601;;
T4769;33;16;83;64;29;43;100;47;28;68;T4769;511;;
T4770;46;94;13;50;53;86;41;65;85;20;T4770;553;;
T4771;23;97;44;15;74;48;14;74;54;90;T4771;533;;
T4772;25;57;72;47;15;70;40;46;73;85;T4772;530;;
T4773;69;96;37;38;51;21;94;47;63;49;T4773;565;;
T4774;12;35;78;15;61;90;90;18;96;33;T4774;528;;
T4775;74;79;51;33;68;68;66;73;55;23;T4775;590;;
T4776;14;24;65;44;16;18;31;12;90;48;T4776;362;;
T4777;86;75;51;30;53;64;39;32;64;77;T4777;571;;
T4778;91;91;12;66;95;22;36;67;90;65;T4778;635;;
T4779;12;54;52;62;15;51;68;13;26;28;T4779;381;;
T4780;82;21;90;41;60;33;77;30;80;45;T4780;559;;
T4781;74;70;72;92;61;81;12;63;69;89;T4781;683;;
T4782;98;65;45;63;24;61;48;31;19;25;T4782;479;;
T4783;68;82;67;68;26;84;39;100;20;18;T4783;572;;
T4784;96;14;65;11;21;78;33;75;98;47;T4784;538;;
T4785;60;68;10;61;79;86;91;29;80;76;T4785;640;;
T4786;14;59;87;50;37;19;47;30;44;26;T4786;413;;
T4787;99;59;24;39;43;26;33;50;40;47;T4787;460;;
T4788;37;14;31;60;37;15;63;35;90;94;T4788;476;;
T4789;64;79;57;83;46;18;87;14;80;71;T4789;599;;
T4790;32;22;45;37;10;37;22;83;79;87;T4790;454;;
T4791;74;86;25;50;72;94;13;12;45;73;T4791;544;;
T4792;52;99;51;20;48;77;68;36;88;85;T4792;624;;
T4793;43;26;41;90;64;52;96;39;13;95;T4793;559;;
T4794;61;56;96;79;51;97;89;69;63;34;T4794;695;;
T4795;42;18;74;47;65;66;94;57;82;80;T4795;625;;
T4796;77;92;37;23;48;38;31;81;85;79;T4796;591;;
T4797;55;34;100;14;49;42;68;45;73;74;T4797;554;;
T4798;90;84;92;69;91;92;77;17;21;42;T4798;675;;
T4799;40;44;34;74;21;89;39;42;53;69;T4799;505;;
T4800;85;72;77;91;97;67;22;34;20;86;T4800;651;;
T4801;69;19;77;29;28;33;89;22;95;30;T4801;491;;
T4802;46;71;96;72;92;63;40;37;93;92;T4802;702;;
T4803;12;18;76;73;12;93;55;100;55;36;T4803;530;;
T4804;59;75;27;93;44;23;94;14;50;84;T4804;563;;
T4805;70;90;72;98;28;36;88;81;49;28;T4805;640;;
T4806;52;90;17;29;27;79;30;96;83;15;T4806;518;;
T4807;41;29;28;20;38;13;91;78;67;98;T4807;503;;
T4808;86;32;43;94;81;87;61;62;94;56;T4808;696;;
T4809;57;83;30;16;59;73;14;59;69;29;T4809;489;;
T4810;56;54;60;33;36;99;39;52;38;93;T4810;560;;
T4811;65;57;57;91;55;86;57;16;61;87;T4811;632;;
T4812;41;54;68;23;83;21;93;62;16;20;T4812;481;;
T4813;46;10;38;65;30;31;74;34;98;45;T4813;471;;
T4814;83;60;53;25;39;78;86;13;89;85;T4814;611;;
T4815;73;14;94;14;56;43;68;87;86;61;T4815;596;;
T4816;80;77;100;75;13;38;81;19;100;75;T4816;658;;
T4817;39;10;75;74;49;48;80;92;94;92;T4817;653;;
T4818;75;46;58;21;79;42;71;62;64;30;T4818;548;;
T4819;38;83;56;61;20;68;38;88;40;15;T4819;507;;
T4820;31;89;91;21;35;61;16;38;62;93;T4820;537;;
T4821;32;66;75;69;11;24;22;73;52;73;T4821;497;;
T4822;79;73;58;90;30;45;13;54;17;100;T4822;559;;
T4823;43;34;49;40;49;40;52;42;64;57;T4823;470;;
T4824;43;27;41;75;49;23;100;55;40;36;T4824;489;;
T4825;43;79;20;45;68;65;49;13;82;49;T4825;513;;
T4826;16;24;29;80;39;13;88;39;55;44;T4826;427;;
T4827;43;75;72;26;79;93;95;86;96;76;T4827;741;;
T4828;87;59;20;51;75;42;36;48;87;59;T4828;564;;
T4829;97;31;89;12;27;98;92;57;83;29;T4829;615;;
T4830;99;85;17;97;24;91;56;50;31;17;T4830;567;;
T4831;20;56;68;72;12;65;28;10;88;27;T4831;446;;
T4832;99;80;86;86;88;84;89;44;46;29;T4832;731;;
T4833;53;24;14;56;20;69;15;12;78;88;T4833;429;;
T4834;95;60;90;38;71;39;64;60;48;62;T4834;627;;
T4835;65;81;81;18;35;96;62;68;81;72;T4835;659;;
T4836;52;74;76;56;40;100;84;93;96;98;T4836;769;;
T4837;74;14;20;44;54;40;12;52;85;44;T4837;439;;
T4838;100;30;82;35;43;18;55;68;85;86;T4838;602;;
T4839;18;89;62;75;70;86;32;58;14;31;T4839;535;;
T4840;72;82;76;53;53;100;38;22;43;79;T4840;618;;
T4841;88;31;89;91;88;98;31;29;96;55;T4841;696;;
T4842;82;11;39;75;81;50;40;12;16;84;T4842;490;;
T4843;98;93;36;47;47;55;15;73;81;70;T4843;615;;
T4844;84;61;92;98;38;14;89;84;56;76;T4844;692;;
T4845;89;32;33;34;54;80;31;58;79;100;T4845;590;;
T4846;30;46;39;83;36;94;45;54;62;47;T4846;536;;
T4847;94;43;34;94;25;86;97;22;84;93;T4847;672;;
T4848;33;79;49;52;96;41;92;10;40;81;T4848;573;;
T4849;79;90;15;79;54;92;28;58;56;17;T4849;568;;
T4850;12;20;43;52;78;66;54;35;100;79;T4850;539;;
T4851;47;21;78;24;60;19;32;90;70;61;T4851;502;;
T4852;21;10;62;13;65;89;83;13;42;18;T4852;416;;
T4853;13;55;78;66;65;11;90;87;30;61;T4853;556;;
T4854;51;36;99;16;14;61;94;76;23;23;T4854;493;;
T4855;43;30;31;39;49;81;67;79;73;82;T4855;574;;
T4856;62;23;87;90;21;64;10;74;55;24;T4856;510;;
T4857;42;41;22;41;49;45;55;32;90;70;T4857;487;;
T4858;82;58;96;11;79;25;19;64;90;42;T4858;566;;
T4859;60;14;39;35;17;86;28;23;18;15;T4859;335;;
T4860;17;48;82;69;36;34;84;85;61;61;T4860;577;;
T4861;77;49;30;71;32;95;88;25;39;91;T4861;597;;
T4862;30;23;43;42;25;79;79;46;62;20;T4862;449;;
T4863;95;89;36;70;10;10;19;56;29;78;T4863;492;;
T4864;61;81;53;81;12;29;26;78;60;47;T4864;528;;
T4865;91;84;81;80;15;27;100;10;20;97;T4865;605;;
T4866;77;10;11;56;11;48;56;89;85;85;T4866;528;;
T4867;66;39;63;54;18;22;62;77;88;34;T4867;523;;
T4868;86;75;20;45;21;25;66;88;60;99;T4868;585;;
T4869;81;94;34;35;62;50;84;76;90;91;T4869;697;;
T4870;38;26;41;54;80;58;88;23;26;81;T4870;515;;
T4871;82;40;97;91;98;66;55;10;43;29;T4871;611;;
T4872;31;34;45;15;32;39;35;57;43;64;T4872;395;;
T4873;59;23;73;35;12;45;32;76;26;100;T4873;481;;
T4874;47;80;53;63;14;56;45;78;86;96;T4874;618;;
T4875;57;96;72;43;28;24;100;74;92;94;T4875;680;;
T4876;61;73;47;37;80;34;40;64;71;56;T4876;563;;
T4877;58;52;89;73;39;18;64;58;12;33;T4877;496;;
T4878;60;35;60;97;72;64;27;38;98;61;T4878;612;;
T4879;63;17;20;64;35;90;37;91;30;49;T4879;496;;
T4880;72;69;41;90;88;79;23;94;52;20;T4880;628;;
T4881;55;98;90;34;89;82;81;26;98;97;T4881;750;;
T4882;58;92;40;83;60;27;78;61;36;83;T4882;618;;
T4883;51;83;79;90;87;97;28;11;61;69;T4883;656;;
T4884;36;95;65;20;99;69;18;38;85;13;T4884;538;;
T4885;100;75;60;46;31;14;63;87;43;30;T4885;549;;
T4886;93;70;82;88;43;25;87;47;32;58;T4886;625;;
T4887;94;61;55;49;39;90;83;77;24;81;T4887;653;;
T4888;85;69;47;11;77;67;29;54;33;50;T4888;522;;
T4889;69;29;28;37;70;48;16;90;74;32;T4889;493;;
T4890;23;38;33;52;32;68;96;25;28;21;T4890;416;;
T4891;42;88;90;13;44;42;28;48;97;83;T4891;575;;
T4892;37;30;39;15;60;45;20;47;12;59;T4892;364;;
T4893;56;57;87;14;90;81;83;76;17;12;T4893;573;;
T4894;18;37;95;82;15;52;27;83;82;42;T4894;533;;
T4895;36;60;16;89;55;21;67;37;62;83;T4895;526;;
T4896;13;11;41;60;11;40;17;63;55;80;T4896;391;;
T4897;79;79;43;77;22;17;77;66;97;57;T4897;614;;
T4898;95;91;79;17;94;87;37;57;34;100;T4898;691;;
T4899;29;20;36;85;19;33;78;34;53;70;T4899;457;;
T4900;31;62;20;65;93;70;83;36;16;57;T4900;533;;
T4901;92;22;95;57;65;76;95;53;17;40;T4901;612;;
T4902;83;17;35;77;61;99;92;82;99;59;T4902;704;;
T4903;95;48;78;75;24;68;27;65;81;40;T4903;601;;
T4904;24;97;87;16;20;84;66;84;66;97;T4904;641;;
T4905;72;93;59;18;35;13;29;95;53;19;T4905;486;;
T4906;16;49;26;21;40;23;10;48;13;58;T4906;304;;
T4907;99;32;58;77;62;18;92;64;73;82;T4907;657;;
T4908;24;44;15;61;12;97;92;29;96;35;T4908;505;;
T4909;57;62;76;99;37;86;94;57;16;100;T4909;684;;
T4910;40;31;73;73;21;85;72;47;81;46;T4910;569;;
T4911;71;36;70;58;69;77;64;98;64;74;T4911;681;;
T4912;75;100;25;43;96;62;66;68;37;87;T4912;659;;
T4913;56;39;15;87;14;97;49;76;53;43;T4913;529;;
T4914;21;92;54;83;59;82;66;27;29;86;T4914;599;;
T4915;12;28;63;60;24;71;41;88;57;94;T4915;538;;
T4916;65;88;30;47;96;29;78;87;22;55;T4916;597;;
T4917;66;51;47;56;100;11;56;20;64;13;T4917;484;;
T4918;96;13;81;18;31;91;44;14;19;74;T4918;481;;
T4919;44;45;87;50;72;44;22;42;47;67;T4919;520;;
T4920;41;59;18;16;79;32;18;51;28;75;T4920;417;;
T4921;37;59;18;37;89;87;97;65;73;34;T4921;596;;
T4922;61;54;43;68;44;93;46;71;61;77;T4922;618;;
T4923;84;65;78;30;25;36;45;27;50;40;T4923;480;;
T4924;50;80;87;87;54;27;13;24;91;74;T4924;587;;
T4925;25;61;87;24;49;20;10;74;81;23;T4925;454;;
T4926;46;86;87;92;87;50;15;60;13;83;T4926;619;;
T4927;31;21;36;81;40;67;66;56;43;95;T4927;536;;
T4928;47;22;87;66;78;46;39;35;46;86;T4928;552;;
T4929;78;95;80;37;54;93;24;11;14;83;T4929;569;;
T4930;71;12;43;80;32;98;44;64;75;41;T4930;560;;
T4931;30;41;85;52;22;54;32;92;56;49;T4931;513;;
T4932;49;32;47;76;37;99;34;16;76;90;T4932;556;;
T4933;26;30;77;63;53;72;73;84;45;70;T4933;593;;
T4934;27;43;51;43;99;58;88;99;89;100;T4934;697;;
T4935;58;86;54;55;69;25;76;63;17;19;T4935;522;;
T4936;87;53;89;52;60;57;39;76;15;58;T4936;586;;
T4937;65;71;86;48;25;96;96;50;59;72;T4937;668;;
T4938;63;30;29;41;58;47;77;68;40;75;T4938;528;;
T4939;27;99;27;69;54;66;18;27;34;42;T4939;463;;
T4940;91;27;45;89;83;42;23;10;35;26;T4940;471;;
T4941;58;54;48;94;75;83;82;84;66;88;T4941;732;;
T4942;24;68;48;91;34;100;42;49;19;25;T4942;500;;
T4943;74;98;90;87;98;93;100;83;55;93;T4943;871;;
T4944;49;97;56;22;18;19;52;74;66;74;T4944;527;;
T4945;57;94;17;17;42;54;99;44;20;17;T4945;461;;
T4946;12;41;56;28;17;99;69;89;52;93;T4946;556;;
T4947;97;66;17;51;34;77;56;76;76;94;T4947;644;;
T4948;60;39;29;29;66;66;77;34;49;79;T4948;528;;
T4949;36;50;74;97;100;13;43;37;41;64;T4949;555;;
T4950;28;27;77;78;16;45;58;74;95;64;T4950;562;;
T4951;93;71;63;21;20;90;37;77;31;90;T4951;593;;
T4952;80;45;32;77;45;75;81;87;23;46;T4952;591;;
T4953;67;69;69;50;65;48;52;11;74;86;T4953;591;;
T4954;14;24;57;63;79;72;13;86;73;22;T4954;503;;
T4955;17;81;13;50;82;74;47;10;40;33;T4955;447;;
T4956;54;19;13;63;29;22;51;54;66;38;T4956;409;;
T4957;73;43;30;50;98;88;98;83;53;54;T4957;670;;
T4958;11;87;34;96;30;53;71;86;53;52;T4958;573;;
T4959;50;93;66;49;75;27;68;100;36;32;T4959;596;;
T4960;62;44;78;44;27;58;56;40;93;81;T4960;583;;
T4961;60;37;95;91;12;14;79;75;64;25;T4961;552;;
T4962;68;14;23;45;83;53;85;61;23;32;T4962;487;;
T4963;17;47;98;45;48;31;31;64;23;87;T4963;491;;
T4964;13;63;46;20;51;71;40;34;64;28;T4964;430;;
T4965;95;13;41;50;48;59;38;22;93;35;T4965;494;;
T4966;32;85;18;24;28;46;82;64;74;48;T4966;501;;
T4967;90;24;49;83;62;14;21;28;67;38;T4967;476;;
T4968;78;60;67;76;63;54;94;41;99;35;T4968;667;;
T4969;43;58;30;16;79;56;85;86;84;12;T4969;549;;
T4970;52;49;36;39;62;54;10;17;49;90;T4970;458;;
T4971;57;32;90;22;67;94;79;20;48;48;T4971;557;;
T4972;57;98;64;49;74;39;85;48;32;80;T4972;626;;
T4973;98;63;86;59;76;78;61;27;61;21;T4973;630;;
T4974;91;68;65;11;55;94;81;74;41;65;T4974;645;;
T4975;100;33;35;70;47;80;71;92;22;35;T4975;585;;
T4976;79;91;63;59;33;86;34;41;83;54;T4976;623;;
T4977;84;90;42;74;66;13;28;76;74;93;T4977;640;;
T4978;89;17;40;13;77;31;74;54;11;37;T4978;443;;
T4979;93;75;45;40;77;85;69;33;80;22;T4979;619;;
T4980;86;100;66;23;29;71;100;37;28;99;T4980;639;;
T4981;80;17;12;82;44;24;51;96;43;16;T4981;465;;
T4982;29;43;31;65;40;85;37;92;100;73;T4982;595;;
T4983;61;32;90;45;98;38;65;67;93;35;T4983;624;;
T4984;30;56;84;27;45;77;61;68;70;50;T4984;568;;
T4985;45;38;74;75;73;93;24;74;97;34;T4985;627;;
T4986;44;84;61;12;17;58;81;46;78;22;T4986;503;;
T4987;47;12;74;70;61;68;11;35;90;100;T4987;568;;
T4988;61;10;78;64;71;77;74;42;30;14;T4988;521;;
T4989;73;37;23;69;34;17;20;48;55;73;T4989;449;;
T4990;81;26;75;49;43;26;18;21;44;100;T4990;483;;
T4991;24;94;80;70;59;91;28;45;88;25;T4991;604;;
T4992;80;89;52;38;95;52;32;76;91;84;T4992;689;;
T4993;49;32;78;36;54;50;72;99;99;63;T4993;632;;
T4994;14;62;57;82;53;75;74;45;17;68;T4994;547;;
T4995;48;37;26;96;88;81;22;78;21;92;T4995;589;;
T4996;84;18;68;34;28;54;26;24;80;66;T4996;482;;
T4997;55;97;64;27;98;44;76;68;82;91;T4997;702;;
T4998;87;21;52;56;39;92;61;53;49;95;T4998;605;;
T4999;30;24;24;47;30;41;40;92;54;55;T4999;437;;
T5000;25;56;52;84;44;86;47;46;62;88;T5000;590;;
T5001;65;21;89;53;23;96;54;10;90;99;T5001;600;;
T5002;58;88;10;61;59;44;39;62;51;20;T5002;492;;
T5003;48;16;60;36;54;47;39;14;63;46;T5003;423;;
T5004;31;46;42;67;54;53;59;68;72;53;T5004;545;;
T5005;13;94;98;87;92;14;70;95;48;26;T5005;637;;
T5006;88;21;16;85;32;55;12;78;84;27;T5006;498;;
T5007;71;50;10;60;33;54;62;59;93;82;T5007;574;;
T5008;28;72;38;47;20;59;57;33;77;85;T5008;516;;
T5009;15;29;25;10;41;38;67;59;97;56;T5009;437;;
T5010;65;90;84;52;32;34;41;89;13;90;T5010;590;;
T5011;71;28;87;71;27;37;48;93;63;71;T5011;596;;
T5012;36;61;87;99;84;58;36;28;73;25;T5012;587;;
T5013;20;32;32;69;76;42;14;74;85;52;T5013;496;;
T5014;58;72;94;19;30;21;100;60;40;57;T5014;551;;
T5015;33;30;89;60;98;75;93;26;99;37;T5015;640;;
T5016;100;74;26;86;22;94;22;22;29;36;T5016;511;;
T5017;92;59;95;85;60;49;82;80;99;71;T5017;772;;
T5018;56;62;58;59;47;72;23;52;20;76;T5018;525;;
T5019;63;86;26;72;11;27;22;49;69;56;T5019;481;;
T5020;40;23;30;26;51;91;63;90;58;89;T5020;561;;
T5021;44;97;18;10;62;51;92;82;36;19;T5021;511;;
T5022;60;57;96;74;57;23;28;27;46;15;T5022;483;;
T5023;22;98;92;18;14;35;92;15;32;23;T5023;441;;
T5024;93;15;40;29;32;19;29;76;10;55;T5024;398;;
T5025;75;36;79;84;80;40;63;72;89;56;T5025;674;;
T5026;92;52;53;24;14;17;62;81;91;77;T5026;563;;
T5027;34;54;85;40;96;94;74;10;41;65;T5027;593;;
T5028;73;17;69;26;25;99;71;22;81;74;T5028;557;;
T5029;17;38;76;16;100;17;74;10;61;13;T5029;422;;
T5030;13;67;23;14;46;78;61;27;18;35;T5030;382;;
T5031;55;34;34;48;95;20;89;54;46;96;T5031;571;;
T5032;68;60;71;89;11;18;72;56;17;13;T5032;475;;
T5033;36;17;58;75;16;99;19;24;56;46;T5033;446;;
T5034;48;73;34;24;12;29;21;92;96;81;T5034;510;;
T5035;75;97;45;30;55;34;92;79;41;22;T5035;570;;
T5036;10;14;74;74;33;83;37;36;40;36;T5036;437;;
T5037;57;68;88;33;58;100;99;53;88;52;T5037;696;;
T5038;40;93;100;24;55;91;21;16;62;13;T5038;515;;
T5039;47;93;22;93;91;39;93;22;40;85;T5039;625;;
T5040;87;39;48;14;28;91;28;53;32;55;T5040;475;;
T5041;29;15;98;76;77;89;58;47;60;49;T5041;598;;
T5042;64;11;100;55;16;45;71;51;45;25;T5042;483;;
